# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
005	Maze	2	vertical		005	1981	Sega
10yard	Sports	2	horizontal		10-Yard Fight (World, set 1)	1983	Irem
10yard85	Sports	2	horizontal	10yard	10-Yard Fight '85 (US, Taito license)	1985	Irem (Taito license)
10yardj	Sports	2	horizontal	10yard	10-Yard Fight (Japan)	1983	Irem
119	Platform	2	horizontal		119 (bootleg?)	1986	Coreland / Sega
1941	Vertical shooter	2	vertical		1941: Counter Attack (World 900227)	1990	Capcom
1941j	Vertical shooter	2	vertical	1941	1941: Counter Attack (Japan)	1990	Capcom
1941r1	Vertical shooter	2	vertical	1941	1941: Counter Attack (World)	1990	Capcom
1941u	Vertical shooter	2	vertical	1941	1941: Counter Attack (USA 900227)	1990	Capcom
1942	Vertical shooter	2	vertical		1942 (Revision B)	1984	Capcom
1942a	Vertical shooter	2	vertical	1942	1942 (Revision A)	1984	Capcom
1942abl	Vertical shooter	2	vertical	1942	1942 (Revision A, bootleg)	1984	bootleg
1942b	Vertical shooter	2	vertical	1942	1942 (First Version)	1984	Capcom
1942c64	Vertical shooter	2	vertical	1942	1942 (C64 Music)	2015	hack by Minwah
1942h	Vertical shooter	2	vertical	1942	Supercharger 1942	1991	hack (Two Bit Score)
1942w	Vertical shooter	2	vertical	1942	1942 (Williams Electronics license)	1985	Capcom (Williams Electronics license)
1943	Vertical shooter	2	vertical		1943: The Battle of Midway (Euro)	1987	Capcom
1943b	Vertical shooter	2	vertical	1943	1943: Battle of Midway (bootleg, hack of Japan set, set 1)	1987	bootleg
1943b2	Vertical shooter	2	vertical	1943	1943: Battle of Midway (bootleg, hack of Japan set, set 2)	1987	bootleg
1943bj	Vertical shooter	2	vertical	1943	1943: Midway Kaisen (bootleg)	1987	bootleg
1943j	Vertical shooter	2	vertical	1943	1943: Midway Kaisen (Japan, Rev B)	1987	Capcom
1943ja	Vertical shooter	2	vertical	1943	1943: Midway Kaisen (Japan)	1987	Capcom
1943jah	Vertical shooter	2	vertical	1943	1943: Midway Kaisen (Japan, no protection hack)	1987	Capcom
1943jaha	Vertical shooter	2	vertical	1943	1943: Midway Kaisen (Japan, no protection hack, alt)	1987	Capcom
1943kai	Vertical shooter	2	vertical		1943 Kai: Midway Kaisen (Japan)	1987	Capcom
1943mii	Vertical shooter	2	vertical		1943: The Battle of Midway Mark II (US)	1987	Capcom
1943u	Vertical shooter	2	vertical	1943	1943: The Battle of Midway (US, Rev C)	1987	Capcom
1943ua	Vertical shooter	2	vertical	1943	1943: The Battle of Midway (US)	1987	Capcom
1944	Vertical shooter	2	horizontal		1944: The Loop Master (Europe 000620)	2000	Eighting / Raizing (Capcom license)
1944ad	Vertical shooter	2	horizontal	1944	1944: The Loop Master (USA 000620 alt Phoenix Edition) (bootleg)	2000	bootleg
1944d	Vertical shooter	2	horizontal	1944	1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)	2000	bootleg
1944j	Vertical shooter	2	horizontal	1944	1944: The Loop Master (Japan 000620)	2000	Eighting / Raizing (Capcom license)
1944u	Vertical shooter	2	horizontal	1944	1944: The Loop Master (USA 000620)	2000	Eighting / Raizing (Capcom license)
1945kiii	Vertical shooter	2	vertical		1945k III (newer, OPCX2 PCB)	2000	Oriental Soft
1945kiiin	Vertical shooter	2	vertical	1945kiii	1945k III (newer, OPCX1 PCB)	2000	Oriental Soft
1945kiiio	Vertical shooter	2	vertical	1945kiii	1945k III (older, OPCX1 PCB)	1999	Oriental Soft
1945kiiipt	Vertical shooter	2	vertical	1945kiii	1945k III (Promat license, OPCX1 PCB)	1999	Promat
19xx	Vertical shooter	2	vertical		19XX: The War Against Destiny (Europe 960104)	1996	Capcom
19xxa	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (Asia 960104)	1996	Capcom
19xxar1	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (Asia 951207)	1996	Capcom
19xxb	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (Brazil 951218)	1996	Capcom
19xxd	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)	1996	bootleg
19xxh	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (Hispanic 951218)	1996	Capcom
19xxj	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (Japan 960104, yellow case)	1996	Capcom
19xxjr1	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (Japan 951225)	1996	Capcom
19xxjr2	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (Japan 951207)	1996	Capcom
19xxu	Vertical shooter	2	vertical	19xx	19XX: The War Against Destiny (USA 951207)	1996	Capcom
19yy	Vertical shooter	2	horizontal		19YY (Neo CD conversion, ADK World)	2022	hack
19yyo	Vertical shooter	2	horizontal	19yy	19YY (Neo CD conversion, ADK World)(Original release)	2022	hack
2020bb	Sports	2	horizontal		2020 Super Baseball (set 1)	1991	SNK / Pallas
2020bba	Sports	2	horizontal	2020bb	2020 Super Baseball (set 2)	1991	SNK / Pallas
2020bbcd	Sports	2	horizontal	2020bb	2020 Super Baseball (Neo CD conversion)	1991	hack
2020bbh	Sports	2	horizontal	2020bb	2020 Super Baseball (set 3)	1991	SNK / Pallas
20pacgal	Maze / Shooter	2	vertical		Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)	2000	Namco / Cosmodog
20pacgalr0	Maze / Shooter	2	vertical	20pacgal	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)	2000	Namco / Cosmodog
20pacgalr1	Maze / Shooter	2	vertical	20pacgal	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)	2000	Namco / Cosmodog
20pacgalr2	Maze / Shooter	2	vertical	20pacgal	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)	2000	Namco / Cosmodog
20pacgalr3	Maze / Shooter	2	vertical	20pacgal	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)	2000	Namco / Cosmodog
20pacgalr4	Maze / Shooter	2	vertical	20pacgal	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)	2000	Namco / Cosmodog
25pacmano	Maze	2	vertical	25pacman	Pac-Man - 25th Anniversary Edition (Rev 2.00)	2005	Namco / Cosmodog
3countb	Fighting	2	horizontal		3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)	1993	SNK
3countba	Fighting	2	horizontal	3countb	3 Count Bout / Fire Suplex (NGM-043)	1993	SNK
3in1semi	Mini-games	2	horizontal		New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 1)	1998	SemiCom / XESS
3in1semia	Mini-games	2	horizontal	3in1semi	New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 2)	1998	SemiCom / XESS
3kokushi	Mahjong	2	horizontal		Sankokushi (Japan)	1996	Mitchell
3on3dunk	Sports	2	horizontal		3 On 3 Dunk Madness (US, prototype? 1997/02/04)	1996	Video System Co.
3stooges	Action	2	horizontal		The Three Stooges In Brides Is Brides (set 1)	1984	Mylstar
3stoogesa	Action	2	horizontal	3stooges	The Three Stooges In Brides Is Brides (set 2)	1984	Mylstar
3wonders	Mini-games	2	horizontal		Three Wonders (World 910520)	1991	Capcom
3wondersb	Mini-games	2	horizontal	3wonders	Three Wonders (bootleg)	1991	bootleg
3wondersh	Mini-games	2	horizontal	3wonders	Three Wonders (hack, set 1)	1991	bootleg
3wondersha	Mini-games	2	horizontal	3wonders	Three Wonders (hack, set 2)	1991	bootleg
3wondersr1	Mini-games	2	horizontal	3wonders	Three Wonders (World 910513)	1991	Capcom
3wondersu	Mini-games	2	horizontal	3wonders	Three Wonders (USA 910520)	1991	Capcom
3x3puzzl	Puzzle	2	horizontal		3X3 Puzzle (Enterprise)	1998	Ace Enterprise
3x3puzzla	Puzzle	2	horizontal	3x3puzzl	3X3 Puzzle (Normal)	1998	Ace Enterprise
4dwarrio	Horizontal shooter	2	horizontal		4-D Warriors (315-5162)	1985	Coreland / Sega
4enraya	Puzzle	2	horizontal		4 En Raya (set 1)	1990	IDSA
4enrayaa	Puzzle	2	horizontal	4enraya	4 En Raya (set 2)	1990	IDSA
4in1	Maze	2	vertical		4 Fun in 1	1981	Armenia / Food and Fun
4in1boot	Mini-games	2	horizontal		Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)	2002	K1 Soft
4play	Misc	4	horizontal		4 player input test	???	SNK
600	Maze	2	vertical	turtles	600	1981	Konami
64street	Beat 'em up	2	horizontal		64th. Street: A Detective Story (World)	1991	Jaleco
64streetj	Beat 'em up	2	horizontal	64street	64th. Street: A Detective Story (Japan, set 1)	1991	Jaleco
64streetja	Beat 'em up	2	horizontal	64street	64th. Street: A Detective Story (Japan, set 2)	1991	Jaleco
720	Action / Sports	2	horizontal		720 Degrees (rev 4)	1986	Atari Games
720g	Action / Sports	2	horizontal	720	720 Degrees (German, rev 2)	1986	Atari Games
720gr1	Action / Sports	2	horizontal	720	720 Degrees (German, rev 1)	1986	Atari Games
720r1	Action / Sports	2	horizontal	720	720 Degrees (rev 1)	1986	Atari Games
720r2	Action / Sports	2	horizontal	720	720 Degrees (rev 2)	1986	Atari Games
720r3	Action / Sports	2	horizontal	720	720 Degrees (rev 3)	1986	Atari Games
7ordi	Casino	1	horizontal		7 Ordi (Korea)	2002	Yun Sung
7toitsu	Mahjong	2	horizontal	mgakuen	Chi-Toitsu	1988	Yuga
800fath	Horizontal shooter	2	vertical	mariner	800 Fathoms	1981	Amenip (US Billiards Inc. license)
800fatha	Horizontal shooter	2	vertical	mariner	800 Fathoms (older)	1981	Amenip (US Billiards Inc. license)
88games	Sports	4	horizontal		'88 Games	1988	Konami
8bpm	Sports	2	vertical	8ballact	Eight Ball Action (Pac-Man conversion)	1985	Seatongrove UK, Ltd. (Magic Electronics USA license)
99lstwar	Shooter	2	vertical	repulse	'99: The Last War (set 1)	1985	Crux / Proma
99lstwara	Shooter	2	vertical	repulse	'99: The Last War (set 2)	1985	Crux / Proma
99lstwarb	Shooter	2	vertical	repulse	'99: The Last War (bootleg)	1985	bootleg
99lstwark	Shooter	2	vertical	repulse	'99: The Last War (Kyugo)	1985	Crux / Kyugo
aa	Maze / Action	2	vertical		Alien Armada	2003	David Widel
abcop	Racing	2	horizontal		A.B. Cop (World) (FD1094 317-0169b)	1990	Sega
abcopd	Racing	2	horizontal	abcop	A.B. Cop (World) (bootleg of FD1094 317-0169b set)	1990	bootleg
abcopj	Racing	2	horizontal	abcop	A.B. Cop (Japan) (FD1094 317-0169b)	1990	Sega
abcopjd	Racing	2	horizontal	abcop	A.B. Cop (Japan) (bootleg of FD1094 317-0169b set)	1990	bootleg
ablast	Platform	2	horizontal	penbros	Hong Tian Lei (A-Blast) (Japan)	2000	Subsino
abscam	Maze / Action	2	vertical	puckman	Abscam	1981	GL (US Billiards license)
aburner	Shooter	2	horizontal		After Burner (VER 1.32, deluxe/upright)	1987	Sega
aburner131	Shooter	2	horizontal	aburner	After Burner (VER 1.31, deluxe/upright)	1987	Sega
aburner2	Shooter	2	horizontal		After Burner II (VER 2.00, deluxe/upright)	1987	Sega
aburner2g	Shooter	2	horizontal	aburner2	After Burner II (German, VER 2.01, deluxe/upright)	1987	Sega
abyssali	Horizontal shooter	1	horizontal		Abyssal Infants (HB)	2021	Kako Eimon
aceattac	Sports	2	vertical		Ace Attacker (FD1094 317-0059)	1988	Sega
aceattaca	Sports	2	vertical	aceattac	Ace Attacker (Japan, System 16A, FD1094 317-0060)	1988	Sega
acitya	Casino	2	vertical	bwcasino	Atlantic City Action	1983	Epos Corporation
acrobatm	Vertical shooter	2	vertical		Acrobat Mission	1991	UPL (Taito license)
actfancr	Horizontal shooter	2	horizontal		Act-Fancer Cybernetick Hyper Weapon (World revision 3)	1989	Data East Corporation
actfancr1	Horizontal shooter	2	horizontal	actfancr	Act-Fancer Cybernetick Hyper Weapon (World revision 1)	1989	Data East Corporation
actfancr2	Horizontal shooter	2	horizontal	actfancr	Act-Fancer Cybernetick Hyper Weapon (World revision 2)	1989	Data East Corporation
actfancrj	Horizontal shooter	2	horizontal	actfancr	Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)	1989	Data East Corporation
actionhw	Beat 'em up	2	horizontal		Action Hollywood	1995	TCH / Proyesel
ad2083	Horizontal shooter	2	vertical		A. D. 2083	1983	Midcoin
adcanoe	Misc	2	vertical		Adventure Canoe	1982	Taito Corporation
adkw	Mini-games	2	horizontal		ADK World (Neo CD conversion)	1995	Alpha Denshi Co.
aeroboto	Horizontal shooter	2	horizontal	formatz	Aeroboto	1984	Jaleco (Williams license)
aerofgt	Vertical shooter	2	vertical		Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)	1992	Video System Co.
aerofgtb	Vertical shooter	2	vertical	aerofgt	Aero Fighters (Taiwan / Japan, set 1)	1992	Video System Co.
aerofgtc	Vertical shooter	2	vertical	aerofgt	Aero Fighters (Taiwan / Japan, set 2)	1992	Video System Co.
aerolitol	Shooter / Vector	2	horizontal	asteroid	Aerolitos Espaciales (Spanish bootleg of Asteroids)	1980	bootleg (Pasatiempos Laguna)
aerolitos	Shooter / Vector	2	horizontal	asteroid	Aerolitos (Spanish bootleg of Asteroids)	1980	bootleg (Rodmar Elec.)
afighter	Vertical shooter	2	vertical		Action Fighter (FD1089A 317-0018)	1986	Sega
afightera	Vertical shooter	2	vertical	afighter	Action Fighter (unprotected)	1986	Sega
afighterb	Vertical shooter	2	vertical	afighter	Action Fighter (unprotected, analog controls)	1986	Sega
afighterc	Vertical shooter	2	vertical	afighter	Action Fighter (FD1089B 317-unknown)	1986	Sega
afighterd	Vertical shooter	2	vertical	afighter	Action Fighter (FD1089B 317-unknown, analog controls)	1986	Sega
afightere	Vertical shooter	2	vertical	afighter	Action Fighter (System 16B, unprotected, analog controls)	1986	Sega
afighterf	Vertical shooter	2	vertical	afighter	Action Fighter (System 16B, FD1089B 317-unknown, analog controls)	1986	Sega
afighterg	Vertical shooter	2	vertical	afighter	Action Fighter (System 16B, FD1089B 317-unknown)	1986	Sega
afighterh	Vertical shooter	2	vertical	afighter	Action Fighter (System 16B, FD1089A 317-0018)	1986	Sega
agallet	Vertical shooter	2	vertical		Air Gallet (Europe)	1996	Gazelle (Banpresto license)
agalleta	Vertical shooter	2	vertical	agallet	Air Gallet (older, Europe)	1996	Gazelle (Banpresto license)
agalletah	Vertical shooter	2	vertical	agallet	Air Gallet (older, Hong Kong)	1996	Gazelle (Banpresto license)
agalletaj	Vertical shooter	2	vertical	agallet	Akuu Gallet (older, Japan)	1996	Gazelle (Banpresto license)
agalletak	Vertical shooter	2	vertical	agallet	Air Gallet (older, Korea)	1996	Gazelle (Banpresto license)
agalletat	Vertical shooter	2	vertical	agallet	Air Gallet (older, Taiwan)	1996	Gazelle (Banpresto license)
agalletau	Vertical shooter	2	vertical	agallet	Air Gallet (older, USA)	1996	Gazelle (Banpresto license)
agalleth	Vertical shooter	2	vertical	agallet	Air Gallet (Hong Kong)	1996	Gazelle (Banpresto license)
agalletj	Vertical shooter	2	vertical	agallet	Akuu Gallet (Japan)	1996	Gazelle (Banpresto license)
agalletk	Vertical shooter	2	vertical	agallet	Air Gallet (Korea)	1996	Gazelle (Banpresto license)
agallett	Vertical shooter	2	vertical	agallet	Air Gallet (Taiwan)	1996	Gazelle (Banpresto license)
agalletu	Vertical shooter	2	vertical	agallet	Air Gallet (USA)	1996	Gazelle (Banpresto license)
agentx1	Action	2	horizontal	cloak	Agent X (prototype, rev 1)	1983	Atari
agentx2	Action	2	horizontal	cloak	Agent X (prototype, rev 2)	1983	Atari
agentx3	Action	2	horizontal	cloak	Agent X (prototype, rev 3)	1983	Atari
agentx4	Action	2	horizontal	cloak	Agent X (prototype, rev 4)	1983	Atari
agress	Puzzle	2	horizontal		Agress - Missile Daisenryaku (Japan)	1991	Palco
agressb	Puzzle	2	horizontal	agress	Agress - Missile Daisenryaku (English bootleg)	2003	bootleg
airass	Vertical shooter	2	vertical		Air Assault (World)	1993	Irem
airattck	Vertical shooter	2	vertical		Air Attack (set 1)	1996	Comad
airattcka	Vertical shooter	2	vertical	airattck	Air Attack (set 2)	1996	Comad
airbustr	Horizontal shooter	2	horizontal		Air Buster: Trouble Specialty Raid Unit (World)	1990	Kaneko (Namco license)
airbustrb	Horizontal shooter	2	horizontal	airbustr	Air Buster: Trouble Specialty Raid Unit (bootleg)	1990	bootleg
airbustrj	Horizontal shooter	2	horizontal	airbustr	Air Buster: Trouble Specialty Raid Unit (Japan)	1990	Kaneko (Namco license)
airduel	Vertical shooter	2	vertical		Air Duel (World, M82 hardware)	1990	Irem
airdueljm72	Vertical shooter	2	vertical	airduel	Air Duel (Japan, M72 hardware)	1990	Irem
airduelm72	Vertical shooter	2	vertical	airduel	Air Duel (World, M72 hardware)	1990	Irem
airduelu	Vertical shooter	2	vertical	airduel	Air Duel (US location test, M82 hardware)	1990	Irem America
airwolf	Horizontal shooter	2	horizontal		Airwolf	1987	Kyugo
airwolfa	Horizontal shooter	2	horizontal	airwolf	Airwolf (US)	1987	Kyugo (United Amusements license)
ajax	Vertical shooter	2	vertical		Ajax	1987	Konami
ajaxj	Vertical shooter	2	vertical	ajax	Ajax (Japan)	1987	Konami
akatana	Horizontal shooter	2	horizontal		Akai Katana (2010/ 8/13 MASTER VER.)	2010	Cave
akazukin	Shooter / Action	2	horizontal		Akazukin (Japan)	1983	Sigma
